round,avg_train_loss,test_acc
0,0.3602,0.282
1,0.2458,0.225
2,0.1957,0.430
3,0.1643,0.423
4,0.1851,0.711
5,0.1448,0.668
6,0.1064,0.701
7,0.1354,0.755
8,0.1121,0.859
9,0.0859,0.763
10,0.0867,0.811
11,0.0642,0.775
12,0.0879,0.803
13,0.0605,0.821
14,0.0888,0.724
15,0.0866,0.785
16,0.0567,0.751
17,0.0578,0.783
18,0.1042,0.788
19,0.0537,0.883
20,0.0525,0.892
21,0.0782,0.889
22,0.0812,0.884
23,0.0547,0.887
24,0.0798,0.905
25,0.0604,0.902
26,0.0525,0.915
27,0.0565,0.907
28,0.0640,0.910
29,0.0697,0.926
30,0.0639,0.889
31,0.0537,0.906
32,0.0484,0.912
33,0.0502,0.911
34,0.0610,0.895
35,0.0529,0.927
36,0.0427,0.860
37,0.0469,0.900
38,0.0561,0.929
39,0.0776,0.926
40,0.0581,0.920
41,0.0664,0.934
42,0.0401,0.939
43,0.0643,0.933
44,0.0410,0.908
45,0.0655,0.951
46,0.0367,0.945
47,0.0503,0.933
48,0.0428,0.950
49,0.0390,0.939
50,0.0427,0.945
51,0.0547,0.952
52,0.0467,0.935
53,0.0377,0.934
54,0.0564,0.959
55,0.0400,0.951
56,0.0390,0.931
57,0.0471,0.951
58,0.0446,0.940
59,0.0340,0.954
60,0.0470,0.955
61,0.0410,0.939
62,0.0357,0.937
63,0.0348,0.853
64,0.0531,0.933
65,0.0293,0.957
66,0.0505,0.960
67,0.0382,0.960
68,0.0462,0.934
69,0.0369,0.951
70,0.0383,0.960
71,0.0375,0.955
72,0.0291,0.945
73,0.0447,0.967
74,0.0412,0.968
75,0.0384,0.965
76,0.0347,0.949
77,0.0292,0.945
78,0.0366,0.956
79,0.0262,0.963
80,0.0261,0.966
81,0.0338,0.966
82,0.0412,0.959
83,0.0408,0.964
84,0.0308,0.952
85,0.0430,0.969
86,0.0381,0.963
87,0.0321,0.974
88,0.0245,0.965
89,0.0296,0.960
90,0.0367,0.961
91,0.0280,0.955
92,0.0270,0.961
93,0.0463,0.971
94,0.0296,0.973
95,0.0305,0.971
96,0.0325,0.945
97,0.0330,0.964
98,0.0236,0.969
99,0.0261,0.976
100,0.0303,0.972
101,0.0333,0.966
102,0.0239,0.969
103,0.0457,0.967
104,0.0337,0.972
105,0.0236,0.964
106,0.0388,0.973
107,0.0283,0.972
108,0.0234,0.962
109,0.0291,0.968
110,0.0251,0.972
111,0.0324,0.974
112,0.0325,0.949
113,0.0275,0.973
114,0.0302,0.972
115,0.0283,0.972
116,0.0177,0.973
117,0.0294,0.973
118,0.0242,0.966
119,0.0289,0.964
120,0.0343,0.964
121,0.0218,0.959
122,0.0257,0.977
123,0.0325,0.970
124,0.0295,0.978
125,0.0205,0.971
126,0.0246,0.957
127,0.0223,0.974
128,0.0314,0.976
129,0.0279,0.978
130,0.0235,0.975
131,0.0257,0.972
132,0.0197,0.966
133,0.0310,0.959
134,0.0232,0.975
135,0.0203,0.950
136,0.0288,0.966
137,0.0260,0.976
138,0.0300,0.968
139,0.0249,0.975
140,0.0240,0.973
141,0.0183,0.975
142,0.0213,0.979
143,0.0226,0.974
144,0.0253,0.977
145,0.0188,0.978
146,0.0268,0.978
147,0.0215,0.980
148,0.0238,0.979
149,0.0149,0.974
150,0.0273,0.973
151,0.0283,0.979
152,0.0297,0.971
153,0.0167,0.974
154,0.0208,0.980
155,0.0251,0.979
156,0.0214,0.975
157,0.0331,0.979
158,0.0501,0.974
159,0.0223,0.973
160,0.0161,0.976
161,0.0227,0.972
162,0.0223,0.980
163,0.0269,0.982
164,0.0254,0.967
165,0.0172,0.966
166,0.0203,0.954
167,0.0196,0.979
168,0.0193,0.980
169,0.0243,0.980
170,0.0181,0.980
171,0.0180,0.979
172,0.0150,0.982
173,0.0188,0.975
174,0.0137,0.974
175,0.0200,0.977
176,0.0192,0.979
177,0.0129,0.978
178,0.0212,0.977
179,0.0246,0.977
180,0.0193,0.979
181,0.0164,0.981
182,0.0117,0.981
183,0.0275,0.981
184,0.0183,0.979
185,0.0217,0.972
186,0.0199,0.981
187,0.0177,0.984
188,0.0205,0.982
189,0.0174,0.974
190,0.0186,0.979
191,0.0305,0.976
192,0.0259,0.985
193,0.0144,0.980
194,0.0181,0.981
195,0.0159,0.980
196,0.0164,0.974
197,0.0227,0.982
198,0.0231,0.982
199,0.0182,0.980
